created_at,entry_id,field1
2023-07-21 13:45:03 UTC,1,30
2023-07-21 13:45:18 UTC,2,30.83333333
2023-07-21 13:45:35 UTC,3,30.83333333
2023-07-21 13:45:52 UTC,4,30
2023-07-21 13:46:07 UTC,5,29.16666667
2023-07-21 13:46:28 UTC,6,2.5
2023-07-21 13:46:45 UTC,7,2.5
2023-07-21 13:47:00 UTC,8,2.5
2023-07-21 13:47:18 UTC,9,30.83333333
2023-07-21 13:47:33 UTC,10,30
2023-07-21 13:47:48 UTC,11,30
2023-07-21 13:48:05 UTC,12,30.83333333
2023-07-21 13:48:20 UTC,13,2.5
2023-07-21 13:48:35 UTC,14,2.5
2023-07-21 13:48:50 UTC,15,2.5
2023-07-21 13:49:06 UTC,16,5.833333333
2023-07-21 13:49:26 UTC,17,30.83333333
2023-07-21 13:49:45 UTC,18,30.83333333
2023-07-21 13:50:02 UTC,19,30.83333333
2023-07-21 13:50:17 UTC,20,2.5
2023-07-21 13:50:32 UTC,21,2.5
2023-07-21 13:50:49 UTC,22,2.5
2023-07-21 13:51:06 UTC,23,2.5
2023-07-21 13:51:22 UTC,24,30
2023-07-21 13:51:39 UTC,25,30
2023-07-21 13:52:00 UTC,26,30
